DATE_TIME,HIGH,LOW,OPEN,CLOSE
2018.07.27 22:30:00,1.52354,1.523,1.52347,1.52332
2018.07.27 22:45:00,1.52336,1.52254,1.52332,1.52264
2018.07.27 23:00:00,1.52315,1.52257,1.52264,1.52285
2018.07.27 23:15:00,1.52312,1.52264,1.52285,1.523
2018.07.27 23:30:00,1.52312,1.52227,1.523,1.52228
2018.07.27 23:45:00,1.52266,1.52192,1.52227,1.52221
2018.07.30 00:00:00,1.52206,1.52093,1.52135,1.522
2018.07.30 00:15:00,1.52232,1.52195,1.52198,1.52217
2018.07.30 00:30:00,1.52257,1.52176,1.52217,1.52243
2018.07.30 00:45:00,1.52257,1.52202,1.52243,1.52242
2018.07.30 01:00:00,1.5228,1.52215,1.52242,1.5228
2018.07.30 01:15:00,1.52283,1.5227,1.52272,1.52276
2018.07.30 01:30:00,1.52291,1.5227,1.52276,1.52277
2018.07.30 01:45:00,1.52295,1.5227,1.5227,1.5229
2018.07.30 02:00:00,1.52294,1.52268,1.52286,1.52283
2018.07.30 02:15:00,1.52288,1.52269,1.52282,1.52282
2018.07.30 02:30:00,1.52311,1.5227,1.52283,1.52306
2018.07.30 02:45:00,1.52316,1.52287,1.52306,1.52305
2018.07.30 03:00:00,1.52313,1.52276,1.52305,1.52287
2018.07.30 03:15:00,1.52316,1.52285,1.52287,1.52314
2018.07.30 03:30:00,1.52371,1.52305,1.52314,1.52364
2018.07.30 03:45:00,1.52366,1.52286,1.52364,1.5234
2018.07.30 04:00:00,1.52342,1.5229,1.5234,1.5231
2018.07.30 04:15:00,1.5234,1.52302,1.5231,1.5232
2018.07.30 04:30:00,1.52329,1.52281,1.52315,1.52301
2018.07.30 04:45:00,1.5237,1.523,1.52301,1.5236
2018.07.30 05:00:00,1.52392,1.52351,1.5236,1.52374
2018.07.30 05:15:00,1.52386,1.52335,1.52374,1.5235
2018.07.30 05:30:00,1.5238,1.52345,1.52345,1.52365
2018.07.30 05:45:00,1.5238,1.52335,1.5237,1.52352
2018.07.30 06:00:00,1.52381,1.52345,1.52351,1.5236
2018.07.30 06:15:00,1.52372,1.52341,1.5236,1.52356
2018.07.30 06:30:00,1.52366,1.52324,1.52356,1.52342
2018.07.30 06:45:00,1.52377,1.52338,1.52343,1.52361
2018.07.30 07:00:00,1.52374,1.52358,1.52361,1.52361
2018.07.30 07:15:00,1.52369,1.5235,1.52363,1.5236
2018.07.30 07:30:00,1.52372,1.5235,1.5236,1.52355
2018.07.30 07:45:00,1.52377,1.52351,1.52354,1.52362
2018.07.30 08:00:00,1.52387,1.52351,1.52362,1.52368
2018.07.30 08:15:00,1.52389,1.52354,1.5237,1.52374
2018.07.30 08:30:00,1.5238,1.52349,1.52374,1.52373
2018.07.30 08:45:00,1.52399,1.52368,1.52374,1.52387
2018.07.30 09:00:00,1.52389,1.52301,1.52385,1.5231
2018.07.30 09:15:00,1.52329,1.52279,1.5231,1.52292
2018.07.30 09:30:00,1.5233,1.52272,1.52292,1.52298
2018.07.30 09:45:00,1.52301,1.52252,1.52298,1.52294
